Length,Method,Size,Cmpr,Date    Time,CRC-32,Name
189354,Defl:X,61967,67%,2024-01-05 19:00,4330f4c4,pcd/issues/2020/20_0317e.htm
297448,Defl:X,83965,72%,2024-01-05 19:00,af665882,pcd/issues/2020/20_0322.htm
240971,Defl:X,75871,69%,2024-01-05 19:00,a71c5684,pcd/issues/2020/20_0324.htm
246266,Defl:X,79489,68%,2024-01-05 19:00,00b3552e,pcd/issues/2020/20_0340.htm
247283,Defl:X,76415,69%,2024-01-05 19:00,e2b1ab94,pcd/issues/2020/20_0350.htm
220055,Defl:X,69849,68%,2024-01-05 19:00,9751e1df,pcd/issues/2020/20_0358.htm
248428,Defl:X,77301,69%,2024-01-05 19:00,56094d54,pcd/issues/2020/20_0366.htm
258364,Defl:X,80346,69%,2024-01-05 19:00,c46ae7e9,pcd/issues/2020/20_0408.htm
203889,Defl:X,66564,67%,2024-01-05 19:00,f41df73c,pcd/issues/2020/20_0447.htm
197588,Defl:X,64950,67%,2024-01-05 19:00,bbaf75b1,pcd/issues/2020/20_0559.htm
349355,Defl:X,84181,76%,2024-01-05 19:00,e69b30e4,pcd/issues/2020/2020_TOC.htm
274168,Defl:X,81138,70%,2024-01-05 19:00,69b7dd94,pcd/issues/2021/20_0115.htm
274749,Defl:X,79608,71%,2024-01-05 19:00,5ec0c3ef,pcd/issues/2021/20_0144.htm
271703,Defl:X,79389,71%,2024-01-05 19:00,740c7615,pcd/issues/2021/20_0224.htm
254510,Defl:X,78099,69%,2024-01-05 19:00,11242028,pcd/issues/2021/20_0225.htm
284756,Defl:X,79390,72%,2024-01-05 19:00,cceffe1c,pcd/issues/2021/20_0242.htm
277481,Defl:X,81384,71%,2024-01-05 19:00,9cc51196,pcd/issues/2021/20_0248.htm
329478,Defl:X,84244,74%,2024-01-05 19:00,0dca9ec8,pcd/issues/2021/20_0278.htm
267961,Defl:X,77034,71%,2024-01-05 19:00,7f655a9d,pcd/issues/2021/20_0315.htm
274617,Defl:X,79779,71%,2024-01-05 19:00,d57c8db2,pcd/issues/2021/20_0316.htm
384861,Defl:X,104185,73%,2024-01-05 19:00,a83dc382,pcd/issues/2021/20_0323.htm
253188,Defl:X,76624,70%,2024-01-05 19:00,31c87f1b,pcd/issues/2021/20_0352.htm
238001,Defl:X,75531,68%,2024-01-05 19:00,904ba3d7,pcd/issues/2021/20_0355.htm
246565,Defl:X,75688,69%,2024-01-05 19:00,4e2ace32,pcd/issues/2021/20_0362.htm
299000,Defl:X,86007,71%,2024-01-05 19:00,1616c25b,pcd/issues/2021/20_0365.htm
251163,Defl:X,73530,71%,2024-01-05 19:00,59236191,pcd/issues/2021/20_0399.htm
244213,Defl:X,76040,69%,2024-01-05 19:00,2213d695,pcd/issues/2021/20_0407.htm
213682,Defl:X,69159,68%,2024-01-05 19:00,06c84b65,pcd/issues/2021/20_0410.htm
230065,Defl:X,70588,69%,2024-01-05 19:00,2037e844,pcd/issues/2021/20_0434.htm
294179,Defl:X,82432,72%,2024-01-05 19:00,a88df1cb,pcd/issues/2021/20_0445.htm
222348,Defl:X,69072,69%,2024-01-05 19:00,601bc95e,pcd/issues/2021/20_0460.htm
258256,Defl:X,77257,70%,2024-01-05 19:00,24c01e4c,pcd/issues/2021/20_0468.htm
256645,Defl:X,76687,70%,2024-01-05 19:00,ea57b150,pcd/issues/2021/20_0471.htm
259850,Defl:X,76058,71%,2024-01-05 19:00,d8a4fc00,pcd/issues/2021/20_0481.htm
247552,Defl:X,75563,70%,2024-01-05 19:00,2806792f,pcd/issues/2021/20_0483.htm
254666,Defl:X,79849,69%,2024-01-05 19:00,685b26d5,pcd/issues/2021/20_0484.htm
206872,Defl:X,66847,68%,2024-01-05 19:00,6566d160,pcd/issues/2021/20_0488.htm
235013,Defl:X,75168,68%,2024-01-05 19:00,a3fd6aab,pcd/issues/2021/20_0490.htm
236317,Defl:X,73143,69%,2024-01-05 19:00,684631ed,pcd/issues/2021/20_0496.htm
316543,Defl:X,81787,74%,2024-01-05 19:00,5a1de5c6,pcd/issues/2021/20_0507.htm
269066,Defl:X,82172,70%,2024-01-05 19:00,1e540080,pcd/issues/2021/20_0513.htm
208258,Defl:X,68133,67%,2024-01-05 19:00,0eb9981f,pcd/issues/2021/20_0517.htm
261087,Defl:X,77490,70%,2024-01-05 19:00,d53d1a7c,pcd/issues/2021/20_0523.htm
256114,Defl:X,78953,69%,2024-01-05 19:00,a2b13122,pcd/issues/2021/20_0531.htm
223566,Defl:X,69667,69%,2024-01-05 19:00,c31cf68b,pcd/issues/2021/20_0532.htm
237998,Defl:X,73363,69%,2024-01-05 19:00,103f6f73,pcd/issues/2021/20_0536.htm
224077,Defl:X,70177,69%,2024-01-05 19:00,d927c54c,pcd/issues/2021/20_0545.htm
246899,Defl:X,73045,70%,2024-01-05 19:00,a74fe17e,pcd/issues/2021/20_0547.htm
269292,Defl:X,77281,71%,2024-01-05 19:00,4f8fe692,pcd/issues/2021/20_0550.htm
259879,Defl:X,78349,70%,2024-01-05 19:00,f22dbb7e,pcd/issues/2021/20_0553.htm
208164,Defl:X,67440,68%,2024-01-05 19:00,eb5bc6e9,pcd/issues/2021/20_0555.htm
207567,Defl:X,67619,67%,2024-01-05 19:00,27c74359,pcd/issues/2021/20_0561.htm
265927,Defl:X,79510,70%,2024-01-05 19:00,614f950d,pcd/issues/2021/20_0567.htm
326777,Defl:X,90208,72%,2024-01-05 19:00,e6c250d4,pcd/issues/2021/20_0569.htm
285997,Defl:X,79852,72%,2024-01-05 19:00,13a7a8fa,pcd/issues/2021/20_0571.htm
